"","ssvid","best_flag","best_vessel_class","vessel_name"
"384","636020482","LBR","non_fishing","ALMANZASUPPLY"
"385","412336718","CHN","squid_jigger","LUWEIYUANYU969"
"386","412336961","CHN","squid_jigger","LULANYUANYU88"
"387","412440375","CHN","fishing","MINZHANGYU9563"
"388","412440375","CHN","squid_jigger","FUYUANYU7612"
"389","412440375","CHN","fishing","MINGDONGKUAITING375"
"390","412421183","CHN","fishing","TAOYUAN610"
"391","949403626",NA,NA,"MINGXIANG858"
"392","412421171","CHN","fishing","HENGXIN1"
"393","412420472","CHN","squid_jigger","MINGZHOU8"
"394","412420472","CHN","squid_jigger","H0NGPU9"
"395","412328799","CHN","fishing","ZHENGFA5"
"396","412328799","CHN","squid_jigger","ZHENGFA5"
"397","412328799","CHN","squid_jigger","ZHENFA5"
"398","412328799","CHN","fishing",NA
"399","412328799","CHN","fishing","ZHENFA5"
"400","412420912","CHN","squid_jigger","ZHOUYU8"
"401","412420912","CHN","squid_jigger",NA
"402","412440739","CHN","squid_jigger","FUYUANYU7616"
"403","412222222","CHN","non_fishing","DHANGJIANGZ1AO"
"404","412222222","CHN","non_fishing",NA
"405","412222222","CHN","non_fishing","MINPINGYUF2908"
"406","412222222","CHN","non_fishing","MIAOTING8"
"407","412440692","CHN","squid_jigger","FUYUANYU7889"
"408","412440692","CHN","squid_jigger",NA
"409","412420822","CHN","squid_jigger","HUALI17"
"410","412280935","CHN","squid_jigger","HEBEI8589"
"411","412880933","CHN","squid_jigger","HEBEI8598"
"412","412331284","CHN","squid_jigger","FUYUANYU715"
"413","412331284","CHN","fishing","LURONGYUANYU715"
"414","412331284","CHN","squid_jigger","LURONGYUANYU715"
"415","412421128","CHN","squid_jigger","HANYI109"
"416","412421193","CHN","squid_jigger","ZHONGJU7"
"417","200014551",NA,"squid_jigger",NA
"418","412465012","CHN","squid_jigger",NA
"419","412465012","CHN","squid_jigger","SHENGANGSHUN8"
"420","412420805","CHN","squid_jigger","PUYUAN777"
"421","412420805","CHN","fishing","PUYUAN777"
"422","412421144","CHN","squid_jigger","SHUNZE83"
"423","412328763","CHN","squid_jigger","RUNDA9"
"424","499999999","VCT","non_fishing","YUANCHENG"
"425","499999999","VCT","non_fishing","JMW"
"426","499999999","VCT","non_fishing","KUROMARU"
"427","499999999","VCT","non_fishing","WAHYAU2"
"428","499999999","VCT","non_fishing","FRENCHWARSHIP"
"429","499999999","VCT","non_fishing","HUOYOUSUODE"
"430","499999999","VCT","non_fishing",NA
"431","499999999","VCT","non_fishing","FUHBI999"
"432","499999999","VCT","non_fishing","ENSCO123"
"433","412333656","CHN","squid_jigger","LULANYUANYU68"
"434","412333656","CHN","squid_jigger","ZHONGHAIYU9"
"435","412333656","CHN","squid_jigger","LIAODAZHONGYU25338"
"436","412333656","CHN","squid_jigger",NA
"437","412331287","CHN","squid_jigger","LURONGYUANYU887"
"438","412421145","CHN","squid_jigger","SHUNZE86"
"439","150400453",NA,"squid_jigger","LURONGYUANYU717"
"440","150400453",NA,"squid_jigger","SHUNHANG4"
"441","150400453",NA,"squid_jigger","LURONGYUANYU572"
"442","150400453",NA,"squid_jigger","LURONGYUANYU715"
"443","150400453",NA,"squid_jigger","FUYUANYU715"
"444","150400453",NA,"squid_jigger","SHUNHANG79"
"445","412549112","CHN","squid_jigger","ZHEPUYUAN77"
"446","412329632","CHN","squid_jigger","CHANGSHUN8"
"447","412329632","CHN","squid_jigger","HANGSHUN8"
"448","412336963","CHN","squid_jigger","LURONGYUANYU582"
"449","412336963","CHN","fishing","LLZY668980"
"450","412420688","CHN","squid_jigger","HUALI19"
"451","412424547","CHN","squid_jigger","JIADE18"
"452","412424547","CHN","squid_jigger","ZHEDINGYU10111"
"453","412421169","CHN","squid_jigger","FENGHUI9"
"454","412421169","CHN","fishing","FENGHUI9"
"455","412336826","CHN","squid_jigger","LURONGYUANYU186"
"456","412420317","CHN","squid_jigger","JIADE8"
"457","412420317","CHN","squid_jigger",NA
"458","412420008","CHN","squid_jigger","JINHAI701"
"459","412420008","CHN","squid_jigger",NA
"460","412420624","CHN","squid_jigger",NA
"461","412420624","CHN","squid_jigger","NINGTAI57"
