"","ssvid","seg_id","start_seg","end_seg","seg_length","positions","overlapping_seg","ndx"
"70","412334074","412334074-2022-06-07T00:49:38.000000Z",2022-06-07 00:49:38,2022-06-09 15:31:09,2.61216435185185,141,FALSE,361
"71","412334074","412334074-2022-06-07T03:59:13.000000Z",2022-06-07 03:59:13,2022-06-09 14:47:45,2.45037037037037,68,TRUE,362
"72","412334074","412334074-2022-06-09T16:36:39.000000Z",2022-06-09 16:36:39,2022-06-10 09:23:20,0.699085648148148,69,FALSE,363
"73","412334074","412334074-2022-06-09T17:49:50.000000Z",2022-06-09 17:49:50,2022-06-10 09:23:02,0.648055555555556,23,TRUE,364
"74","412334074","412334074-2022-06-10T12:01:42.000000Z",2022-06-10 12:01:42,2022-06-14 07:56:39,3.82982638888889,204,FALSE,365
"75","412334074","412334074-2022-06-10T12:26:19.000000Z",2022-06-10 12:26:19,2022-06-14 06:25:38,3.74952546296296,105,TRUE,366
"76","412334074","412334074-2022-06-14T11:36:37.000000Z",2022-06-14 11:36:37,2022-06-22 08:06:30,7.85408564814815,463,FALSE,367
"77","412334074","412334074-2022-06-14T11:40:15.000000Z",2022-06-14 11:40:15,2022-06-22 07:00:41,7.80585648148148,193,TRUE,368
"78","412334074","412334074-2022-06-22T17:33:36.000000Z",2022-06-22 17:33:36,2022-06-25 10:37:43,2.71119212962963,84,FALSE,370
"79","412334074","412334074-2022-06-22T20:13:24.000000Z",2022-06-22 20:13:24,2022-09-13 00:02:03,82.1587847222222,8112,TRUE,371
"80","412334074","412334074-2022-06-26T17:05:55.000000Z",2022-06-26 17:05:55,2022-08-11 13:42:05,45.8584490740741,12492,TRUE,372
"81","412334074","412334074-2022-09-10T19:45:00.000000Z",2022-09-10 19:45:00,2022-09-30 13:29:26,19.7391898148148,4414,FALSE,375
"82","412334074","412334074-2022-09-15T20:12:11.000000Z",2022-09-15 20:12:11,2022-09-17 09:52:45,1.56983796296296,51,TRUE,376
"83","412420574","412420574-2020-05-22T09:32:00.000000Z",2020-05-22 09:32:00,2020-06-24 10:00:00,33.0194444444444,1458,FALSE,417
"84","412420574","412420574-2020-06-24T03:41:00.000000Z",2020-06-24 03:41:00,2020-06-24 07:46:17,0.170335648148148,16,TRUE,418
"85","412420574","412420574-2022-12-14T13:41:02.000000Z",2022-12-14 13:41:02,2023-03-31 23:33:44,107.411597222222,25473,FALSE,452
"86","412420574","412420574-2023-02-08T02:31:41.000000Z",2023-02-08 02:31:41,2023-02-09 02:07:08,0.982951388888889,135,TRUE,453
"87","412420659","412420659-2020-01-08T23:53:33.000000Z",2020-01-08 23:53:33,2020-01-11 04:13:24,2.18045138888889,460,FALSE,455
"88","412420659","412420659-2020-01-10T10:22:34.000000Z",2020-01-10 10:22:34,2020-01-10 13:18:05,0.121886574074074,21,TRUE,456
