"","msgid","ssvid","seg_id","timestamp","lat","lon","speed_knots","heading","course","meters_to_prev","implied_speed_knots","hours","night","nnet_score","logistic_score","night_loitering","type","source","receiver_type","distance_from_port_m","distance_from_shore_m","distance_from_sat_km","is_fishing_vessel","AIS_class","day"
"434","883c4b92-602e-49f6-0b61-6771357770e4","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:12:32,-44.5440633333333,-58.49663,0.9,511,73.4,36.703881903933,0.880811601512383,0.0225,FALSE,0,0,0,"AIS.1","spire","satellite",541759.312,459000,NA,TRUE,"A",18
"435","01208977-5574-675a-1861-6259323c2d28","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:14:03,-44.5438916666667,-58.49616,0.9,511,61.3,41.8537633816371,0.894023981719713,0.0252777777777778,FALSE,0,0,0,"AIS.1","spire","satellite",541759.312,459000,NA,TRUE,"A",18
"436","c6346cbb-fc86-b04f-0350-c470a130879e","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:15:30,-44.543755,-58.4956833333333,0.9,511,68.7,40.7180580741827,0.909753743054688,0.0241666666666667,FALSE,0,0,0,"AIS.1","spire","satellite",541759.312,459000,NA,TRUE,"A",18
"437","51000f0b-9292-9245-542a-185aa3b50614","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:16:31,-44.5436583333333,-58.4953333333333,1,511,70.3,29.7474874550639,0.947930509260694,0.0169444444444444,FALSE,0,0,0,"AIS.1","spire","satellite",541759.312,459000,NA,TRUE,"A",18
"438","14a8b82a-4a5e-a701-c057-cc8d3f4ad4ca","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:17:01,-44.5436166666667,-58.4951616666667,0.9,511,72.2,14.3719625003705,0.931216938249004,0.00833333333333333,FALSE,0,0,0,"AIS.1","spire","satellite",541759.312,459000,NA,TRUE,"A",18
"439","bfc35ac7-769f-0113-ea16-e03b407edc38","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:18:12,-44.5435316666667,-58.49476,0.9,511,75.3,33.2059191211915,0.90910323529795,0.0197222222222222,FALSE,0,0,0,"AIS.1","spire","satellite",542534.75,460000,NA,TRUE,"A",18
"440","f5979aa3-365d-ec40-93ad-5b71557e6db2","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:19:12,-44.5435216666667,-58.4943766666667,1,511,92,30.3996106437314,0.984856186024967,0.0166666666666667,FALSE,0,0,0,"AIS.1","spire","satellite",542534.75,460000,NA,TRUE,"A",18
"441","dfa246fa-3e7a-c195-984d-e1f5dd465a93","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:20:22,-44.5435666666667,-58.4939983333333,0.8,511,97.1,30.3979799899873,0.844117163773388,0.0194444444444444,FALSE,0,0,0,"AIS.1","spire","satellite",542534.75,460000,NA,TRUE,"A",18
"442","5340a001-8b8c-1acc-5d4b-a46df9a3dd38","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:21:02,-44.5435583333333,-58.4938,0.8,511,81.8,15.7455278947264,0.765161800808175,0.0111111111111111,FALSE,0,0,0,"AIS.1","spire","satellite",542534.75,460000,NA,TRUE,"A",18
"443","7c5ffe99-4394-de06-0908-24eb7d395aa5","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:22:02,-44.543505,-58.4935233333333,0.7,511,76.3,22.7139520345903,0.735863904064623,0.0166666666666667,FALSE,0,0,0,"AIS.1","spire","satellite",542534.75,460000,NA,TRUE,"A",18
